t,bound,Exp3,Exp3DoublingTrick,SWExp3
370,156.909489367244,50.734754274710696,52.90701074885877,56.80367747663985
371,157.12138614085293,51.28302867609466,53.348850720661005,57.24551744844209
372,157.3329975312133,51.13868501758887,53.130439135801964,57.035414983175855
373,157.54432468829376,51.06979126414484,53.130439135801964,57.22528052285966
374,157.75536875436055,51.50742214997629,53.39189305132527,57.22528052285966
375,157.96613086404955,51.44031137072102,53.39189305132527,57.15816974360439
376,158.1766121444374,51.64977409021657,53.4146540524502,57.393670755621
377,158.38681371511183,51.665539054146564,53.621896602849574,57.32010060296227
378,158.59673668824115,52.02385844832,53.95083427289126,57.67595884317157
379,158.80638216864284,52.27768796922115,54.004338966833586,57.693909842539256
380,159.0157512538516,52.530724923013395,54.293677989975436,58.338369684381206
381,159.22484503418605,52.530724923013395,54.552713502268375,58.656021847746445
382,159.43366459281526,52.36086408364483,54.552713502268375,58.42707828606322
383,159.6422110058241,52.30571186770263,54.552713502268375,58.695112121531565
384,159.85048534227795,52.270715677256305,54.60686880439482,58.660115931085244
385,160.05848866428664,52.330167710118246,54.99300713268107,58.9641813955466
386,160.2662220270676,52.330167710118246,54.99300713268107,58.9641813955466
387,160.47368647900842,52.52120615053286,55.140346865331594,59.10968588922967
388,160.68088306172842,52.699018004505064,55.10261555390085,59.07195457779892
389,160.88781281013985,52.42999008943215,55.01595959739717,58.9707466709921
390,161.09447675250803,52.640864043672536,55.226833551637554,59.26653863287831
391,161.3008759105111,53.03787113757576,55.67174142278432,59.411598753458975
392,161.50701129929888,53.2188681976134,55.50000754365254,59.216251114590676
393,161.7128839275511,53.626278336137176,55.8885065196346,59.560903898466336
394,161.918494797535,53.626278336137204,55.898046691119475,59.560903898466364
395,162.12384490516231,53.636582786448486,55.98431290396681,59.84719941534675
396,162.32893524004547,53.92476348169919,56.43078290720413,59.84719941534678
397,162.5337667855533,54.26449667202161,56.366328477179735,59.99891945016654
398,162.738340518866,54.26424844355361,56.45820131608957,59.98980900033882
399,162.94265741102956,54.26424844355361,56.55300032847617,60.35639168482234
400,163.14671842700943,54.38449248280733,56.74410592730794,60.50537355950479
401,163.35052452574388,54.67560878612855,56.78946657863369,60.79648986282601
402,163.55407666019642,54.69343558143285,56.91123150877249,60.897575985464016
403,163.75737577740784,55.20213849613475,57.29982366291168,61.10831419971424
404,163.96042281854764,55.64399362602083,57.29982366291168,61.39102199399565
405,164.1632187189648,55.75954435264532,57.46781537216626,61.50657272062014
406,164.36576440823808,55.75954435264535,57.35086466083379,61.28339509345153
407,164.5680608102258,55.90996266320886,57.15789647288926,61.28339509345156
408,164.7701088431149,56.0372449261649,57.243673754328114,61.329231304226084
409,164.97190941946963,56.24527577185708,57.45170460002029,61.612409392653234
410,165.17346344627956,56.31247375814954,57.79653935354804,61.73354589811444
411,165.37477182500723,56.519033420790095,57.79653935354804,62.16009780798399
412,165.57583545163513,56.386371110402195,57.86239032722196,61.89768296327824
413,165.77665521671233,56.18574997636449,57.661769193184256,61.69706182924054
414,165.97723200540025,56.404383984761466,57.58692118441979,61.62221382047608
415,166.17756669751853,56.66535155873933,57.930161915472894,61.88318139445394
416,166.37766016758974,56.65368654275804,58.05837585591121,61.88318139445394
417,166.57751328488408,56.83046531319789,58.19847552060355,62.099753457308566
418,166.7771269134634,56.8584103436404,58.22642055104606,62.14639588100712
419,166.97650191222488,57.015776964103196,58.273480379544736,62.2066033243068
420,167.17563913494394,57.015776964103196,58.66461732860958,62.52053783392461
421,167.37453943031701,57.01638581493347,58.665226179439856,62.60331718679916
422,167.57320364200388,57.01638581493344,59.04592222167258,62.60331718679913
423,167.77163260866914,56.957481665707235,58.78025516481091,62.76956444673712
424,167.96982716402374,56.859534113445136,58.82967904057142,62.780803546523174
425,168.16778813686577,56.78711626922808,58.741151005941475,62.60130574462369
426,168.3655163511208,56.90219391267945,58.97738979764463,62.60130574462366
427,168.56301262588207,56.776701040361104,59.20934242148701,62.47581287230531
428,168.76027777544996,56.77670104036113,59.41321594318387,62.548979670231944
429,168.9573126093712,56.93655300585158,59.41321594318387,62.548979670231944
430,169.1541179324776,56.9261517922007,59.61175095026823,62.59958975115205
431,169.35069454492444,57.33314953832047,59.60884823183778,62.95625693188006
432,169.54704324222834,57.33314953832044,59.62233870304584,62.952811849290185
433,169.74316481530502,57.16058907920845,59.62233870304581,62.95281184929016
434,169.9390600505062,57.587276588685256,59.84192300600938,63.22008465705514
435,170.13472972965664,58.06674534327507,59.84192300600938,63.7385910853416
436,170.33017463009034,58.18985207646196,60.08218033363653,63.738591085341625
437,170.52539552468664,58.385186146133634,60.3558971794011,63.96487103341536
438,170.72039318190602,58.550876442657994,60.52158747592546,64.13056132993972
439,170.91516836582508,59.1100735934252,60.52158747592543,64.39932262947804
440,171.1097218361718,59.11007359342523,60.52158747592546,64.39932262947806
441,171.3040543483599,59.48448010216305,60.68316940413848,64.79505544892149
442,171.49816665352316,59.94207273523665,60.683169404138454,65.25264808199509
443,171.69205949854918,60.202070026666576,61.24096838992915,65.25264808199512
444,171.88573362611308,60.202070026666604,61.44099523301034,65.25264808199515
445,172.07918977471058,60.563602799605036,61.531393839032205,65.61418085493358
446,172.27242867869083,60.88168275599861,61.84947379542578,65.61418085493358
447,172.46545106828896,60.88168275599858,61.91739813463471,65.61418085493355
448,172.65825766965833,60.78269719481699,62.073259513505235,65.51519529375196
449,172.85084920490232,60.78269719481699,62.00973815971216,65.25908333569032
450,173.04322639210596,60.967794641398314,62.19483560629348,65.18634310744062
451,173.23538994536707,61.108874884453485,61.95362196944873,65.09946110437429
452,173.42734057482733,61.33789325149834,61.85045762693892,64.99629676186447
453,173.61907898670265,61.62094679573127,61.96497522324739,65.18323036281637
454,173.81060588331385,61.62094679573127,62.02357761622255,65.19824297627162
455,174.00192196311627,61.85039797622997,62.15828531709471,65.46445613682351
456,174.19302792072983,62.14112788985929,62.39916892449378,65.75518605045283
457,174.38392444696822,62.66659406912402,62.53148962847234,65.88361829084863
458,174.57461222886812,63.10123165502796,62.560155377924474,65.84479565188732
459,174.7650919497181,63.45693208685691,62.5601553779245,65.84479565188735
460,174.95536428908713,63.957190773795446,62.82420764348143,66.12818085962215
461,175.1454299228528,64.18055339592428,62.91809002201197,66.22206323815269
462,175.33528952322945,64.63602672534066,63.23816109621731,66.22206323815266
463,175.52494375879584,64.63602672534068,63.14648099482534,66.59851167427038
464,175.7143932945227,64.99982733712878,63.23920382452752,66.9024948634657
465,175.90363879179975,65.5875729056277,63.7594437563186,67.15068362922051
466,176.09268090846282,65.58757290562772,64.29281073345737,67.68405060635928
467,176.2815202988205,65.78014642361143,64.29281073345737,67.96821232331882
468,176.47015761368044,65.7446564332898,64.55835432626631,68.1552201059124
469,176.65859350037567,65.88953402687295,64.70323191984946,68.33772111317313
470,176.84682860279042,66.0424741774807,65.25193459777705,68.43539390744516
471,177.0348635613858,66.35294842416533,65.56240884446169,68.73336634933028
472,177.22269901322528,66.35294842416536,65.56240884446171,68.49682977017574
473,177.4103355919998,66.22796430196871,65.36400538647624,68.45067917343113
474,177.5977739280528,66.40120062897819,65.70169345581465,68.81445331833223
475,177.78501464840477,66.40120062897822,65.70725616191865,69.05328835254133
476,177.97205837677794,66.66300522140779,65.96906075434822,69.32298526930052
477,178.15890573362032,66.88226934490996,66.17444719092205,69.51967743469879
478,178.34555733612981,66.96964915300919,66.27600395029515,69.62123419407189
479,178.532013798278,67.50106677255113,66.65974298196252,69.90809166563841
480,178.71827573083362,67.471576640726,66.65974298196252,69.98745060686599
481,178.9043437413861,67.96981190713433,66.98083949375047,70.30854711865393
482,179.0902184343684,68.47127899494481,66.98083949375044,70.3085471186539
483,179.2759004110802,68.39607808902602,66.98083949375044,70.45071126708828
484,179.46139026971036,68.85707722662232,67.0952354414585,70.64865757200408
485,179.64668860535963,69.00014893858912,67.0952354414585,70.70968200910434
486,179.8317960100627,68.67628034343957,67.0952354414585,70.70968200910434
487,180.01671307281043,69.17362390390406,67.51458644853375,70.79631767337366
488,180.20144037957164,69.27306541000169,67.75289913848607,71.3370433216958
489,180.3859785133148,69.84594562545453,68.29597842830924,71.90992353714864
490,180.5703280540295,70.0396207664418,68.3496149221964,71.90102770890036
491,180.7544895787476,70.36059766686492,68.57074292159996,72.36142214274273
492,180.9384636615646,70.51105279452045,68.53420209147902,72.60756089177036
493,181.12225087366016,70.36604176177696,68.66562584402129,72.67369206978603
494,181.305851783319,70.50074454548155,68.53098803722281,72.67369206978603
495,181.48926695595142,70.75710775436005,69.04217758533451,73.04097496499122
496,181.67249695411343,70.71167263158418,69.27826717488017,72.94468748703824
497,181.85554233752708,70.814355290447,69.50082416706482,73.04737014590108
498,182.03840366310035,70.75476488416422,69.75371421026296,72.9877797396183
499,182.2210814849468,70.9668648894961,70.05629128359703,73.53580747484193
500,182.40357635440532,70.9668648894961,70.28680173629351,73.44282591392601
501,182.5858888200595,70.9668648894961,70.3531319029949,73.5091560806274
502,182.7680194277568,71.20503650903208,70.86932835987182,73.5091560806274
503,182.94996872062765,71.58822705823411,71.0937550813934,73.5091560806274
504,183.13173723910444,71.46992281061961,71.0937550813934,73.49055842631327
505,183.31332552094008,71.53032904344246,71.1050343068107,73.50183765173057
506,183.49473410122673,71.69288083517529,71.26758609854352,73.94724834891906
507,183.67596351241403,72.20935211914968,71.51839019531712,74.0110504512495
508,183.8570142843275,72.37142408156245,72.11211746866252,74.17312241366227
509,184.03788694418648,72.85087070996582,72.37732253840073,74.30233433391669
510,184.2185820166221,73.0183930971267,72.37732253840073,74.43880795243922
