condition,algorithm,t,cum_pnl
stationary,Exp3,338,17.83027141123997
stationary,Exp3,339,17.897210845220002
stationary,Exp3,340,17.916345365407977
stationary,Exp3,341,17.84183205591576
stationary,Exp3,342,17.834005956622544
stationary,Exp3,343,17.971133097558848
stationary,Exp3,344,18.019014516594286
stationary,Exp3,345,18.047873919790916
stationary,Exp3,346,18.14855227950576
stationary,Exp3,347,18.1821278160484
stationary,Exp3,348,18.230450364830613
stationary,Exp3,349,18.310170059745992
stationary,Exp3,350,18.44460686578697
stationary,Exp3,351,18.552108177145588
stationary,Exp3,352,18.603859722985998
stationary,Exp3,353,18.6102315542589
stationary,Exp3,354,18.614704583062952
stationary,Exp3,355,18.712255505938103
stationary,Exp3,356,18.778217187720124
stationary,Exp3,357,18.86908907693513
stationary,Exp3,358,18.89011785538233
stationary,Exp3,359,18.962819236491654
stationary,Exp3,360,18.993036381666204
stationary,Exp3,361,19.061685955104746
stationary,Exp3,362,19.16023916012905
stationary,Exp3,363,19.164130811648644
stationary,Exp3,364,19.108819271524155
stationary,Exp3,365,19.274610483973564
stationary,Exp3,366,19.30463804045748
stationary,Exp3,367,19.429521837770114
stationary,Exp3,368,19.593745350913352
stationary,Exp3,369,19.684635352518075
stationary,Exp3,370,19.705074423960088
stationary,Exp3,371,19.73881396702424
stationary,Exp3,372,19.87046955056489
stationary,Exp3,373,19.906249048437257
stationary,Exp3,374,19.896443346083153
stationary,Exp3,375,19.955298589844055
stationary,Exp3,376,20.029530037687685
stationary,Exp3,377,20.04058246027823
stationary,Exp3,378,20.172864946103946
stationary,Exp3,379,20.16797612246729
stationary,Exp3,380,20.344260290835898
stationary,Exp3,381,20.39275855728705
stationary,Exp3,382,20.461762918289473
stationary,Exp3,383,20.46869759229348
stationary,Exp3,384,20.492091804848368
stationary,Exp3,385,20.50584607455801
stationary,Exp3,386,20.678342435931945
stationary,Exp3,387,20.827446823372654
stationary,Exp3,388,20.816186261096057
stationary,Exp3,389,20.77279962150235
stationary,Exp3,390,20.848613277627972
stationary,Exp3,391,20.877599610061523
stationary,Exp3,392,20.848019639377807
stationary,Exp3,393,20.902789189530417
stationary,Exp3,394,20.898446727362476
stationary,Exp3,395,20.922697240594644
stationary,Exp3,396,21.02070104960468
stationary,Exp3,397,21.09506080034358
stationary,Exp3,398,21.241775445649047
stationary,Exp3,399,21.252343369170063
stationary,Exp3,400,21.272441853827868
stationary,Exp3,401,21.329567316048124
stationary,Exp3,402,21.392487697905185
stationary,Exp3,403,21.44696120285622
stationary,Exp3,404,21.52333419065226
stationary,Exp3,405,21.639209981089817
stationary,Exp3,406,21.700323411499287
stationary,Exp3,407,21.797381817747944
stationary,Exp3,408,21.821960874310548
stationary,Exp3,409,21.81760963475286
stationary,Exp3,410,21.762575466071926
stationary,Exp3,411,21.855526450091396
stationary,Exp3,412,22.014276526495685
stationary,Exp3,413,22.04128830476268
stationary,Exp3,414,22.12023271600301
stationary,Exp3,415,22.20535597065058
stationary,Exp3,416,22.215886737277305
stationary,Exp3,417,22.317457561742092
stationary,Exp3,418,22.437783864473595
stationary,Exp3,419,22.42338186481744
stationary,Exp3,420,22.452423107640872
stationary,Exp3,421,22.550342040329078
stationary,Exp3,422,22.65802725124389
stationary,Exp3,423,22.755498936415883
stationary,Exp3,424,22.81571635322386
stationary,Exp3,425,22.826051380026712
stationary,Exp3,426,22.883950761415928
stationary,Exp3,427,22.99726394861788
stationary,Exp3,428,23.08242171182658
stationary,Exp3,429,23.16944537346232
stationary,Exp3,430,23.125855537009162
stationary,Exp3,431,23.212964477729518
stationary,Exp3,432,23.265908531859296
stationary,Exp3,433,23.39585891628618
stationary,Exp3,434,23.445345921778586
stationary,Exp3,435,23.462816923141535
stationary,Exp3,436,23.456382220345482
stationary,Exp3,437,23.543002877580875
stationary,Exp3,438,23.687781349194612
stationary,Exp3,439,23.758493211226668
stationary,Exp3,440,23.855527936359895
stationary,Exp3,441,23.9304908955007
stationary,Exp3,442,24.06557243739485
stationary,Exp3,443,24.1393973551099
stationary,Exp3,444,24.280786598963896
stationary,Exp3,445,24.30218148410239
stationary,Exp3,446,24.392790884636998
stationary,Exp3,447,24.404854784144728
stationary,Exp3,448,24.53930935153417
stationary,Exp3,449,24.571326234295206
stationary,Exp3,450,24.68108016499441
stationary,Exp3,451,24.757102047491458
stationary,Exp3,452,24.83257272772287
stationary,Exp3,453,24.877492123417174
stationary,Exp3,454,24.928281333578614
stationary,Exp3,455,24.94054584041765
stationary,Exp3,456,25.001004613730988
stationary,Exp3,457,24.998517907788305
stationary,Exp3,458,25.09187211347853
stationary,Exp3,459,25.16384611360751
stationary,Exp3,460,25.227505786945752
stationary,Exp3,461,25.25259899466151
stationary,Exp3,462,25.21964414158602
stationary,Exp3,463,25.308973382957262
stationary,Exp3,464,25.363943812823937
stationary,Exp3,465,25.423685164354005
stationary,Exp3,466,25.403467866302346
stationary,Exp3,467,25.48803543797399
stationary,Exp3,468,25.465419300474817
stationary,Exp3,469,25.570268796661498
stationary,Exp3,470,25.618594263605097
stationary,Exp3,471,25.651670108883042
stationary,Exp3,472,25.66160591724943
stationary,Exp3,473,25.729257551058502
stationary,Exp3,474,25.79534451420064
stationary,Exp3,475,25.771679221852814
stationary,Exp3,476,25.800320136336683
stationary,Exp3,477,25.93653045273131
stationary,Exp3,478,25.992596287404563
stationary,Exp3,479,26.066363692600177
stationary,Exp3,480,26.125465524593583
stationary,Exp3,481,26.101820341895593
stationary,Exp3,482,26.196746940544873
stationary,Exp3,483,26.35926504835912
stationary,Exp3,484,26.465194929041626
stationary,Exp3,485,26.586453271828248
stationary,Exp3,486,26.69493646218039
stationary,Exp3,487,26.803144077889907
stationary,Exp3,488,26.840599804973362
stationary,Exp3,489,26.96395504131032
stationary,Exp3,490,26.938801680251004
stationary,Exp3,491,26.959194777691838
stationary,Exp3,492,26.935814326145817
stationary,Exp3,493,27.05570964020169
stationary,Exp3,494,27.11864367497891
stationary,Exp3,495,27.185970618721562
stationary,Exp3,496,27.200691835167213
stationary,Exp3,497,27.221443725060375
stationary,Exp3,498,27.313057511139338
stationary,Exp3,499,27.360423106783315
stationary,Exp3,500,27.42853341014965
stationary,Exp3,501,27.47263437565982
stationary,Exp3,502,27.58839764282444
stationary,Exp3,503,27.61890457071742
stationary,Exp3,504,27.675841470005206
stationary,Exp3,505,27.708315294366656
stationary,Exp3,506,27.790792385504716
stationary,Exp3,507,27.80434024036778
stationary,Exp3,508,27.898122187529044
stationary,Exp3,509,27.95072237540994
stationary,Exp3,510,27.940217320433028
stationary,Exp3,511,28.039923973775196
stationary,Exp3,512,28.165248615979735
stationary,Exp3,513,28.236683719839657
stationary,Exp3,514,28.350293865956562
stationary,Exp3,515,28.36152004475569
stationary,Exp3,516,28.45391759939204
stationary,Exp3,517,28.512808929565182
stationary,Exp3,518,28.55959581645667
stationary,Exp3,519,28.663438515149288
stationary,Exp3,520,28.745121526201146
stationary,Exp3,521,28.827572375426268
stationary,Exp3,522,28.83753520537531
stationary,Exp3,523,28.924867393372885
stationary,Exp3,524,29.027457288290723
stationary,Exp3,525,29.081604200353407
stationary,Exp3,526,29.239627790852495
stationary,Exp3,527,29.230214199974885
stationary,Exp3,528,29.361370499186215
stationary,Exp3,529,29.41178350386343
stationary,Exp3,530,29.47169260020256
stationary,Exp3,531,29.419555480256662
stationary,Exp3,532,29.524842649124267
stationary,Exp3,533,29.528538826020817
stationary,Exp3,534,29.629054314578877
stationary,Exp3,535,29.679528007717288
stationary,Exp3,536,29.693977849760955
stationary,Exp3,537,29.78191795021075
stationary,Exp3,538,29.901013161034403
stationary,Exp3,539,30.00033642667129
stationary,Exp3,540,30.021059946807878
stationary,Exp3,541,29.984571045931776
stationary,Exp3,542,30.065446880504595
stationary,Exp3,543,30.185200463619747
stationary,Exp3,544,30.25302829421322
stationary,Exp3,545,30.36805373893456
stationary,Exp3,546,30.413081425907492
stationary,Exp3,547,30.434574134021563
stationary,Exp3,548,30.442317117186185
stationary,Exp3,549,30.51305270432247
stationary,Exp3,550,30.63762616730277
stationary,Exp3,551,30.754205170553114
stationary,Exp3,552,30.833064514550152
stationary,Exp3,553,30.827452144028697
stationary,Exp3,554,30.93195980265113
stationary,Exp3,555,30.941556891982092
stationary,Exp3,556,31.02689842231938
stationary,Exp3,557,31.096685777648617
stationary,Exp3,558,31.176063806069617
stationary,Exp3,559,31.197430652675553
stationary,Exp3,560,31.209990092731683
stationary,Exp3,561,31.332281964228233
stationary,Exp3,562,31.29129993582689
stationary,Exp3,563,31.293149847707493
stationary,Exp3,564,31.422710349082863
stationary,Exp3,565,31.427752536853575
stationary,Exp3,566,31.50199216333521
stationary,Exp3,567,31.608237472286508
stationary,Exp3,568,31.637487776757524
stationary,Exp3,569,31.6126615573779
stationary,Exp3,570,31.64730233293196
stationary,Exp3,571,31.780569931616785
stationary,Exp3,572,31.854354761860098
stationary,Exp3,573,31.95538431840842
stationary,Exp3,574,32.01357762475169
stationary,Exp3,575,32.17685632518335
stationary,Exp3,576,32.24764754321266
stationary,Exp3,577,32.37618133574627
stationary,Exp3,578,32.49506404826364
stationary,Exp3,579,32.58824327606546
stationary,Exp3,580,32.60170812162876
stationary,Exp3,581,32.62227985114488
